pool,func,minargs,maxargs,type,address,definition
GSC-Function-4f437c0,getentnavmaterial,1,1,0,BlackOps4.exe+33101B0,
GSC-Function-4f437c0,collisiontestpointsinsphere,3,3,0,BlackOps4.exe+332C790,
GSC-Function-4f437c0,collisiontestpointsincylinder,5,5,0,BlackOps4.exe+332CF00,
GSC-Function-4f437c0,collisiontestpointsinpill,6,6,0,BlackOps4.exe+332D6F0,
GSC-Function-4f437c0,collisiontestpointsincone,6,6,0,BlackOps4.exe+332E500,
GSC-Function-4f437c0,collisiontestpointsinbox,7,7,0,BlackOps4.exe+333AF40,
GSC-Function-4f437c0,qsortscoredspawnpointsascending,1,1,0,BlackOps4.exe+333FFC0,
GSC-Function-4f437c0,matrix4x4transformpoints,2,2,0,BlackOps4.exe+3340210,
GSC-Function-4f437c0,enablespawnpointlist,2,2,0,BlackOps4.exe+3312CE0,
GSC-Function-4f437c0,disablespawnpointlist,2,2,0,BlackOps4.exe+3315700,
GSC-Function-4f437c0,setspawnpointrandomvariation,1,1,0,BlackOps4.exe+33158F0,
GSC-Function-4f437c0,clearspawnpoints,0,1,0,BlackOps4.exe+33158A0,
GSC-Function-4f437c0,placespawnpoint,1,1,0,BlackOps4.exe+3315A10,
GSC-Function-4f437c0,addspawnpoints,2,3,0,BlackOps4.exe+3318360,
GSC-Function-4f437c0,getbestspawnpoint,2,6,0,BlackOps4.exe+3320400,
GSC-Function-4f437c0,clearspawnpointsbaseweight,1,1,0,BlackOps4.exe+3315910,
GSC-Function-4f437c0,setspawnpointsbaseweight,4,4,0,BlackOps4.exe+3315960,
GSC-Function-4f437c0,getplayerspawnid,1,1,0,BlackOps4.exe+3323980,
GSC-Function-4f437c0,isspawnpointvisible,4,4,0,BlackOps4.exe+3323A70,
GSC-Function-4f437c0,getspawnlists,0,0,0,BlackOps4.exe+3323970,
GSC-Function-4f437c0,addinfluencer,3,3,0,BlackOps4.exe+3326860,
GSC-Function-4f437c0,addentityinfluencer,3,3,0,BlackOps4.exe+3326BD0,
GSC-Function-4f437c0,function_a116c91b,3,3,0,BlackOps4.exe+33269B0,
GSC-Function-4f437c0,addorientedinfluencer,4,4,0,BlackOps4.exe+332B500,
GSC-Function-4f437c0,removeinfluencer,1,1,0,BlackOps4.exe+332BDF0,
GSC-Function-4f437c0,removeallinfluencersfromentity,1,1,0,BlackOps4.exe+332BED0,
GSC-Function-4f437c0,enableinfluencer,2,2,0,BlackOps4.exe+332BF80,
GSC-Function-4f437c0,setinfluencerteammask,2,2,0,BlackOps4.exe+332C070,
GSC-Function-4f437c0,setinfluencertimeout,2,2,0,BlackOps4.exe+332C130,
GSC-Function-4f437c0,function_8b51d4df,2,2,0,BlackOps4.exe+332C430,
GSC-Function-4f437c0,getinfluencertimeoutremaining,1,1,0,BlackOps4.exe+332C6B0,
GSC-Function-4f437c0,setdebugsideswitch,1,1,1,BlackOps4.exe+332C780,nulled
GSC-Function-4f437c0,getinfluencerpreset,1,1,0,BlackOps4.exe+332B670,
GSC-Function-4f437c0,function_2e07e8f9,2,2,0,BlackOps4.exe+332B5F0,
GSC-Function-4f437c0,target_set,1,3,0,BlackOps4.exe+33DC3F0,
GSC-Function-4f437c0,target_setoffset,1,2,0,BlackOps4.exe+33DC9F0,
GSC-Function-4f437c0,target_getoffset,1,1,0,BlackOps4.exe+33DBB80,
GSC-Function-4f437c0,target_remove,1,2,0,BlackOps4.exe+33DC170,
GSC-Function-4f437c0,target_setshader,2,2,0,BlackOps4.exe+33DCAB0,
GSC-Function-4f437c0,target_setoffscreenshader,2,2,0,BlackOps4.exe+33DC870,
GSC-Function-4f437c0,target_getorigin,1,2,0,BlackOps4.exe+33DBC30,
GSC-Function-4f437c0,target_isinrect,5,6,0,BlackOps4.exe+33DBE90,
